Country,Killers,Proven_Victims,Possible_Victims
United States,275,2759,6448
United Kingdom,58,498,1147
Russia,32,574,774
South Africa,29,401,574
Mexico,22,331,636
China,22,496,547
Australia,20,96,139
Soviet Union,18,265,305
France,16,145,241
India,16,298,324
Germany,16,234,613
Canada,14,102,135
Japan,14,88,190
Brazil,13,254,490
Italy,8,65,107
Spain,8,65,69
Poland,8,53,728
Turkey,7,65,88
Iran,6,239,242
South Korea,5,65,70
Netherlands,5,20,288
Czechoslovakia,5,29,42
Indonesia,5,81,103
Colombia,5,94,143
"Soviet Union, Russia",4,55,92
Ukraine,4,65,71
Belgium,4,25,45
Chile,4,38,63
Argentina,4,43,43
West Germany,4,34,49
Romania,3,30,35
"United States, Canada",3,27,55
Sweden,3,39,39
Greece,3,36,186
Austria,3,22,152
Egypt,2,34,34
Costa Rica,2,25,30
Hungary,2,56,306
Hong Kong,2,7,7
Latvia,2,32,57
Iraq,2,143,143
"United States, Mexico",2,19,24
Zambia,2,42,43
"Soviet Union, Ukraine",2,89,152
Pakistan,2,114,114
Denmark,2,13,19
Bangladesh,2,18,54
Afghanistan,2,85,320
"Austria, United States, Czechoslovakia",1,11,15
Imperial State of Iran,1,6,6
Guatemala,1,15,15
Estonia,1,6,6
"Ecuador, Spain",1,9,9
Finland,1,5,5
"France, Belgium",1,16,19
"France, Germany, Switzerland",1,23,150
"German Empire, Germany",1,9,79
Cyprus,1,7,7
"Colombia, Peru, Ecuador",1,110,300
Czech Republic,1,7,21
"Czechoslovakia, Germany, Netherlands",1,9,9
East Germany,1,3,3
"East Germany, Germany",1,6,6
"East Germany, Germany, France, Spain, Czech Republic, Italy",1,6,19
Ecuador,1,23,23
"China, Japan",1,8,8
"Colombia, Ecuador, Brazil",1,72,180
"Colombia, Ecuador, Venezuela",1,193,247
"Allied-occupied Germany, West Germany",1,3,16
Belize,1,5,5
"Belgium, France",1,28,40
"Belgian Congo, Tanganyika",1,57,57
"Canada, United States",1,7,18
Belarus,1,6,12
Austria-Hungary,1,24,24
Namibia,1,5,5
"Kingdom of Romania, Yugoslavia, Hungary",1,35,35
Kenya,1,10,10
"Italy, West Germany, Netherlands",1,10,27
"Italy, France",1,7,7
Israel,1,4,4
"Singapore, Malaysia",1,1,3
Singapore,1,5,5
"SR Slovenia, Serbia and Montenegro, Slovenia",1,3,3
SR Slovenia,1,5,5
SR Croatia,1,5,5
Rwanda,1,14,14
Portugal,1,3,3
Republic of Macedonia,1,3,4
Norway,1,22,82
"Ottoman Empire, Iraq, Iran",1,33,33
Peru,1,17,25
Panama,1,5,5
Malaysia,1,2,6
Kingdom of Yugoslavia,1,50,150
Morocco,1,36,36
"Soviet Union, Russia, Ukraine",1,10,10
Tunisia,1,14,14
"Thailand, Nepal, India, Malaysia",1,12,30
"Switzerland, France, United States, Yugoslavia, Italy",1,5,11
Switzerland,1,22,22
Swaziland,1,28,45
Sri Lanka,1,18,18
"Spain, France, Italy",1,7,48
"Soviet Union, Russia, Tajikistan",1,22,22
"United States, Austria, France, United Kingdom",1,1,50
"United Kingdom, Ireland, West Germany, Netherlands, France",1,4,18
"United States, Portuguese Angola",1,5,22
"United States, Zimbabwe",1,4,47
Venezuela,1,14,14
"Uzbekistan, Kazakhstan",1,11,11
"West Germany, United States",1,5,9
Yemen,1,12,12
